countriesAndTerritories;year;Total_ Population with basic handwashing facilities at home (%); Urban_ Population with basic handwashing facilities at home (%); Rural_ Population with basic handwashing facilities at home (%)
Afghanistan;2020;38;64;29
Albania;2020;0;0;0
Algeria;2020;85;88;75
Andorra;2020;0;0;0
Angola;2020;27;34;13
Antigua and Barbuda;2020;0;0;0
Argentina;2020;0;0;0
Armenia;2020;95;97;91
Australia;2020;0;0;0
Austria;2020;0;0;0
Azerbaijan;2020;0;0;0
Bahamas;2020;0;0;0
Bahrain;2020;0;0;0
Bangladesh;2020;58;66;54
Barbados;2020;0;0;0
Belarus;2020;0;0;0
Belgium;2020;0;0;0
Belize;2020;90;92;89
Benin;2020;12;17;8
Anguilla;2020;0;0;0
Bhutan;2020;92;89;93
Bolivia (Plurinational State of);2020;27;29;22
Bosnia and Herzegovina;2020;0;0;0
Botswana;2020;0;0;0
Brazil;2020;0;0;0
Brunei Darussalam;2020;0;0;0
Bulgaria;2020;0;0;0
Burkina Faso;2020;9;17;5
Burundi;2020;6;19;4
Cabo Verde;2020;0;0;0
Cambodia;2020;74;83;71
Cameroon;2020;36;47;22
Canada;2020;0;0;0
Central African Republic;2020;22;34;12
Chad;2020;25;35;22
Chile;2020;0;0;0
China;2020;0;0;0
Colombia;2020;68;76;32
Comoros;2020;0;0;0
Congo;2020;0;0;0
Cook Islands;2020;0;0;0
Costa Rica;2020;86;87;83
CÃ´te d'Ivoire;2020;22;31;11
Croatia;2020;0;0;0
Cuba;2020;92;94;86
Cyprus;2020;0;0;0
Czechia;2020;0;0;0
Democratic People's Republic of Korea;2020;0;0;0
Democratic Republic of the Congo;2020;19;27;12
Denmark;2020;0;0;0
Djibouti;2020;0;0;0
Dominica;2020;0;0;0
Dominican Republic;2020;47;50;33
Ecuador;2020;87;92;79
Egypt;2020;90;93;88
El Salvador;2020;0;0;0
Equatorial Guinea;2020;0;0;0
Eritrea;2020;0;0;0
Estonia;2020;0;0;0
Eswatini;2020;24;48;17
Ethiopia;2020;8;20;5
Fiji;2020;0;0;0
Finland;2020;0;0;0
France;2020;0;0;0
Gabon;2020;0;0;0
Gambia;2020;18;18;18
Georgia;2020;92;95;87
Germany;2020;0;0;0
Ghana;2020;42;47;35
Greece;2020;0;0;0
Grenada;2020;0;0;0
Guatemala;2020;0;0;0
Guinea;2020;20;33;13
Guinea-Bissau;2020;18;23;14
Guyana;2020;0;0;0
Haiti;2020;22;28;15
Honduras;2020;0;0;0
Hungary;2020;0;0;0
Iceland;2020;0;0;0
India;2020;68;82;60
Indonesia;2020;94;96;91
Iran (Islamic Republic of);2020;0;0;0
Iraq;2020;97;98;97
Ireland;2020;0;0;0
Israel;2020;0;0;0
Italy;2020;0;0;0
Jamaica;2020;0;0;0
Japan;2020;0;0;0
Jordan;2020;0;0;0
Kazakhstan;2020;0;0;0
Kenya;2020;27;33;24
Kiribati;2020;56;59;51
Kuwait;2020;0;0;0
Kyrgyzstan;2020;100;100;100
Lao People's Democratic Republic;2020;56;73;46
Latvia;2020;0;0;0
Lebanon;2020;0;0;0
Lesotho;2020;6;10;4
Liberia;2020;0;0;0
Libya;2020;0;0;0
Lithuania;2020;0;0;0
Luxembourg;2020;0;0;0
Madagascar;2020;27;38;20
Malawi;2020;8;14;7
Malaysia;2020;0;0;0
Maldives;2020;96;97;95
Mali;2020;17;27;9
Malta;2020;0;0;0
Marshall Islands;2020;85;86;80
Mauritania;2020;0;0;0
Mauritius;2020;0;0;0
Mexico;2020;0;0;0
Micronesia (Federated States of);2020;0;0;0
Monaco;2020;0;0;0
Mongolia;2020;86;89;81
Montenegro;2020;99;99;99
Morocco;2020;0;0;0
Mozambique;2020;0;0;0
Myanmar;2020;75;83;71
Namibia;2020;0;0;0
Nauru;2020;0;0;0
Nepal;2020;62;75;59
Netherlands;2020;0;0;0
New Zealand;2020;0;0;0
Nicaragua;2020;0;0;0
Niger;2020;23;39;20
Nigeria;2020;33;41;25
Niue;2020;0;0;0
Norway;2020;0;0;0
occupied Palestinian territory;2020;92;92;92
Oman;2020;97;0;0
Pakistan;2020;80;90;74
Palau;2020;0;0;0
Panama;2020;0;0;0
Papua New Guinea;2020;30;62;25
Paraguay;2020;80;85;72
Peru;2020;0;0;55
Philippines;2020;82;85;79
Poland;2020;0;0;0
Portugal;2020;0;0;0
Qatar;2020;0;0;0
Republic of Korea;2020;0;0;0
Republic of Moldova;2020;0;0;0
North Macedonia;2020;100;100;100
Romania;2020;0;0;0
Russian Federation;2020;0;0;0
Rwanda;2020;5;13;3
Saint Kitts and Nevis;2020;0;0;0
Saint Lucia;2020;0;0;0
Saint Vincent and the Grenadines;2020;0;0;0
Samoa;2020;79;0;0
San Marino;2020;0;0;0
Sao Tome and Principe;2020;55;59;44
Saudi Arabia;2020;0;0;0
Senegal;2020;22;35;10
Serbia;2020;0;0;0
Seychelles;2020;0;0;0
Sierra Leone;2020;21;24;19
Singapore;2020;0;0;0
Slovakia;2020;0;0;0
Slovenia;2020;0;0;0
Solomon Islands;2020;0;0;28
Somalia;2020;25;32;19
South Africa;2020;44;53;27
South Sudan;2020;0;0;0
Spain;2020;0;0;0
Sri Lanka;2020;0;0;0
Sudan;2020;13;0;0
Suriname;2020;72;75;67
Sweden;2020;0;0;0
Switzerland;2020;0;0;0
Syrian Arab Republic;2020;83;85;80
Tajikistan;2020;73;87;68
Thailand;2020;85;87;83
Timor-Leste;2020;28;43;22
Togo;2020;17;27;10
Tonga;2020;70;80;66
Trinidad and Tobago;2020;0;0;0
Tunisia;2020;84;91;67
TÃ¼rkiye;2020;0;0;0
Turkmenistan;2020;100;100;100
Tuvalu;2020;0;0;0
Uganda;2020;23;36;18
Ukraine;2020;0;0;0
United Arab Emirates;2020;0;0;0
United Kingdom of Great Britain and Northern Ireland;2020;0;0;0
United Republic of Tanzania;2020;48;63;40
United States of America;2020;0;0;0
Uruguay;2020;0;0;0
Uzbekistan;2020;0;0;0
Vanuatu;2020;0;0;0
Venezuela (Bolivarian Republic of);2020;0;0;0
Viet Nam;2020;86;93;82
Yemen;2020;0;0;0
Zambia;2020;18;29;9
Zimbabwe;2020;42;56;36
Afghanistan;2019;38;64;29
Albania;2019;0;0;0
Algeria;2019;85;88;75
Andorra;2019;0;0;0
Angola;2019;27;34;13
Antigua and Barbuda;2019;0;0;0
Argentina;2019;0;0;0
Armenia;2019;95;97;91
Australia;2019;0;0;0
Austria;2019;0;0;0
Azerbaijan;2019;0;0;0
Bahamas;2019;0;0;0
Bahrain;2019;0;0;0
Bangladesh;2019;55;64;50
Barbados;2019;0;0;0
Belarus;2019;0;0;0
Belgium;2019;0;0;0
Belize;2019;90;92;89
Benin;2019;11;16;7
Anguilla;2019;0;0;0
Bhutan;2019;91;89;92
Bolivia (Plurinational State of);2019;27;29;22
Bosnia and Herzegovina;2019;0;0;0
Botswana;2019;0;0;0
Brazil;2019;0;0;0
Brunei Darussalam;2019;0;0;0
Bulgaria;2019;0;0;0
Burkina Faso;2019;9;17;5
Burundi;2019;6;19;4
Cabo Verde;2019;0;0;0
Cambodia;2019;73;84;69
Cameroon;2019;36;47;22
Canada;2019;0;0;0
Central African Republic;2019;21;33;12
Chad;2019;24;35;21
Chile;2019;0;0;0
China;2019;0;0;0
Colombia;2019;68;76;32
Comoros;2019;0;0;0
Congo;2019;48;56;32
Cook Islands;2019;0;0;0
Costa Rica;2019;86;86;83
CÃ´te d'Ivoire;2019;21;31;11
Croatia;2019;0;0;0
Cuba;2019;91;93;85
Cyprus;2019;0;0;0
Czechia;2019;0;0;0
Democratic People's Republic of Korea;2019;0;0;0
Democratic Republic of the Congo;2019;19;27;12
Denmark;2019;0;0;0
Djibouti;2019;0;0;0
Dominica;2019;0;0;0
Dominican Republic;2019;47;50;33
Ecuador;2019;87;92;79
Egypt;2019;90;93;88
El Salvador;2019;0;0;0
Equatorial Guinea;2019;0;0;0
Eritrea;2019;0;0;0
Estonia;2019;0;0;0
Eswatini;2019;24;48;17
Ethiopia;2019;8;20;5
Fiji;2019;0;0;0
Finland;2019;0;0;0
France;2019;0;0;0
Gabon;2019;0;0;0
Gambia;2019;18;18;18
Georgia;2019;92;95;87
Germany;2019;0;0;0
Ghana;2019;41;47;35
Greece;2019;0;0;0
Grenada;2019;0;0;0
Guatemala;2019;77;83;70
Guinea;2019;20;33;13
Guinea-Bissau;2019;17;21;13
Guyana;2019;0;0;0
Haiti;2019;22;28;15
Honduras;2019;0;0;0
Hungary;2019;0;0;0
Iceland;2019;0;0;0
India;2019;68;82;60
Indonesia;2019;94;96;91
Iran (Islamic Republic of);2019;0;0;0
Iraq;2019;97;97;95
Ireland;2019;0;0;0
Israel;2019;0;0;0
Italy;2019;0;0;0
Jamaica;2019;0;0;0
Japan;2019;0;0;0
Jordan;2019;0;0;0
Kazakhstan;2019;99;99;99
Kenya;2019;27;33;24
Kiribati;2019;56;59;51
Kuwait;2019;0;0;0
Kyrgyzstan;2019;98;99;98
Lao People's Democratic Republic;2019;55;73;46
Latvia;2019;0;0;0
Lebanon;2019;0;0;0
Lesotho;2019;5;10;4
Liberia;2019;0;0;0
Libya;2019;0;0;0
Lithuania;2019;0;0;0
Luxembourg;2019;0;0;0
Madagascar;2019;26;38;19
Malawi;2019;8;14;7
Malaysia;2019;0;0;0
Maldives;2019;96;97;95
Mali;2019;17;27;9
Malta;2019;0;0;0
Marshall Islands;2019;85;86;80
Mauritania;2019;53;66;36
Mauritius;2019;0;0;0
Mexico;2019;90;91;84
Micronesia (Federated States of);2019;0;0;0
Monaco;2019;0;0;0
Mongolia;2019;84;88;77
Montenegro;2019;99;99;99
Morocco;2019;0;0;0
Mozambique;2019;0;0;0
Myanmar;2019;74;83;71
Namibia;2019;0;0;0
Nauru;2019;0;0;0
Nepal;2019;61;75;57
Netherlands;2019;0;0;0
New Zealand;2019;0;0;0
Nicaragua;2019;0;0;0
Niger;2019;22;38;19
Nigeria;2019;33;41;25
Niue;2019;0;0;0
Norway;2019;0;0;0
occupied Palestinian territory;2019;92;92;92
Oman;2019;97;0;0
Pakistan;2019;77;89;70
Palau;2019;0;0;0
Panama;2019;0;0;0
Papua New Guinea;2019;30;62;25
Paraguay;2019;80;85;72
Peru;2019;0;0;55
Philippines;2019;82;85;79
Poland;2019;0;0;0
Portugal;2019;0;0;0
Qatar;2019;0;0;0
Republic of Korea;2019;0;0;0
Republic of Moldova;2019;0;0;0
North Macedonia;2019;100;100;100
Romania;2019;0;0;0
Russian Federation;2019;0;0;0
Rwanda;2019;5;13;3
Saint Kitts and Nevis;2019;0;0;0
Saint Lucia;2019;0;0;0
Saint Vincent and the Grenadines;2019;0;0;0
Samoa;2019;79;0;0
San Marino;2019;0;0;0
Sao Tome and Principe;2019;53;56;44
Saudi Arabia;2019;0;0;0
